,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
77,1351.0,9.45842,9.57532,8.61813,8.58998,7.56444,7.55519,2.7051,2.64196,2.48622,2.6508,2.5841,2.60311
78,1448.0,10.1944,9.90267,9.6283,9.19642,8.16902,8.23081,2.87873,2.85879,2.79736,2.78312,2.80062,2.74347
79,1552.0,10.8943,10.4094,10.3298,9.56582,8.62387,8.80499,2.89623,3.03824,3.0078,3.00816,2.9281,2.95846
80,1663.0,12.0086,11.6285,10.7671,10.3965,9.30093,9.24698,3.36712,3.28518,3.28042,3.21194,3.15075,3.19782
81,1782.0,12.6263,12.2779,11.5524,11.357,10.1036,9.91577,3.45992,3.52981,3.45357,3.43981,3.37389,3.3255
82,1910.0,13.3992,13.4356,12.4997,11.7704,10.7111,10.5931,3.79569,3.69637,3.71667,3.71977,3.64559,3.73003
83,2048.0,14.2457,14.1736,13.7784,12.9403,11.5191,11.6157,4.07255,3.94202,4.00866,3.7608,3.9518,3.90164
84,2194.0,15.307,15.1264,14.3115,13.5918,12.4324,12.3581,4.41982,4.28886,4.32782,4.24298,4.22516,4.16224
85,2352.0,16.4183,16.5418,15.1561,14.5777,13.3102,13.0873,4.74927,4.57055,4.38454,4.61079,4.54955,4.4758
86,2521.0,17.5885,17.4634,16.3741,15.5437,13.9416,14.3524,4.92944,4.98116,4.78813,4.89904,4.7953,4.81651
87,2702.0,18.9704,18.5147,17.4335,17.1767,15.2192,15.2716,5.31964,5.27114,5.127,5.28312,4.91244,5.14704
88,2896.0,20.3359,20.6093,18.7228,18.3904,16.2116,16.3345,5.77921,5.7414,5.65757,5.63356,5.4741,5.57281
89,3104.0,21.8998,21.9739,18.7959,19.5601,17.2324,17.2248,6.20616,6.02995,6.0779,5.86548,5.93927,5.90379
90,3326.0,23.7099,22.9861,20.9737,21.2993,18.4699,18.5952,6.29498,6.43904,6.49677,6.47682,6.32379,6.28546
91,3565.0,25.3289,24.5319,22.7923,22.0982,20.1997,19.9264,7.12778,6.97629,6.9318,6.91157,6.81604,6.78104
92,3821.0,27.2567,26.2112,23.9316,24.3154,21.576,20.9842,7.60785,7.59371,7.37786,7.25534,7.21464,7.33961
93,4096.0,29.689,28.5036,25.6963,25.6321,23.1423,22.6348,7.59982,7.9998,8.00341,7.79583,7.72612,7.64476
94,4389.0,29.1988,30.8925,27.9862,27.8492,23.9219,24.5663,8.45783,8.49005,8.48327,8.46069,8.26811,8.35021
95,4705.0,32.8876,33.4825,30.1361,28.7903,25.9055,26.4701,9.49214,9.23117,9.275,9.10111,8.91954,8.92559
96,5042.0,35.2859,34.6578,32.3889,32.4743,28.5427,28.5279,10.1314,9.7867,9.78669,9.75681,9.62835,9.5135
97,5404.0,38.7689,37.8872,33.2582,33.8443,29.822,30.3315,10.8507,10.2095,9.92509,10.4062,10.2586,10.1896
98,5792.0,40.5899,39.3712,36.8464,36.1354,32.3987,32.0314,11.41,10.5878,11.2616,11.0752,10.853,10.888
99,6208.0,43.1846,43.5174,39.4567,39.1887,34.7184,34.4389,12.167,12.1198,11.9863,11.7943,11.5798,11.5358
100,6653.0,46.5011,46.0168,42.0305,41.1976,36.8829,37.3177,12.9288,13.1477,12.8542,12.5387,12.542,12.3913
101,7131.0,50.127,50.1479,45.581,43.1471,39.6519,40.0712,13.9187,13.4043,13.6863,13.5329,13.5716,13.2647
102,7643.0,53.5529,53.4938,48.4522,47.6435,42.313,42.1119,14.5188,14.8996,14.7921,14.7177,14.1526,14.1353
103,8192.0,56.9388,56.3244,51.6951,49.8178,46.176,45.2336,16.0191,16.0985,15.9003,15.6355,15.3729,15.2578
104,8779.0,60.9891,61.2845,55.3265,52.7443,48.5036,48.3622,17.2556,17.0143,16.8303,16.7393,16.3332,16.4272
105,9410.0,65.8137,66.4522,58.7226,57.1659,51.8797,52.3538,18.4814,18.2982,18.0475,17.6939,16.599,17.8344
106,10085.0,70.7341,69.0343,63.5373,62.2255,57.1437,54.9661,19.5643,19.6565,19.2897,19.0478,18.5789,18.8944
107,10809.0,75.4364,73.8263,64.4076,60.8718,54.4848,53.7113,21.3552,21.2511,20.3092,19.0249,19.3908,19.4003
