,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
122,30573.0,163.861,163.965,150.514,137.021,119.615,114.824,49.7237,49.0888,40.5081,47.0126,38.1976,44.8036
123,32768.0,184.486,174.752,150.103,146.481,127.73,119.668,54.9971,53.1778,51.241,50.3525,48.4997,48.3965
124,35119.0,196.276,182.339,162.429,157.959,135.846,131.166,47.6867,57.2982,55.2845,54.5181,51.9217,51.8243
125,37640.0,206.762,190.769,168.784,162.181,148.055,141.392,61.3561,60.5844,59.1162,57.7035,55.8111,54.829
126,40342.0,219.304,202.752,180.697,176.209,157.654,156.3,66.0242,64.6869,62.3347,61.2869,57.7757,56.9583
127,43237.0,241.242,220.016,192.584,189.062,165.29,167.821,70.4754,59.7742,66.7041,65.638,62.0185,61.8513
128,46340.0,254.359,229.852,212.073,194.533,171.949,172.587,75.507,74.0724,59.3116,69.5108,65.8039,65.9334
129,49667.0,262.542,244.5,215.035,208.171,176.522,178.77,80.3541,76.1122,76.0144,62.8192,70.9522,70.3487
130,53231.0,285.569,217.475,229.625,221.996,191.305,185.263,86.1699,84.9955,67.8412,80.4863,74.5014,74.6669
131,57052.0,295.859,231.082,241.137,226.312,188.523,183.581,92.2002,90.3433,72.3713,84.7652,78.0721,77.3037
132,61147.0,320.362,269.049,242.941,231.463,194.846,185.577,97.5845,96.1158,90.5251,88.7543,83.4885,79.25
133,65536.0,354.164,309.712,269.596,245.621,196.131,197.822,105.185,103.397,97.4937,95.6151,88.6834,88.0855
134,70239.0,361.556,337.816,287.351,269.516,202.465,192.4,112.234,111.002,100.447,101.058,92.164,91.4307
135,75281.0,389.366,363.489,300.082,269.953,215.822,200.945,120.005,112.94,109.644,106.833,97.946,97.4332
136,80684.0,413.017,391.65,301.792,278.599,220.06,224.204,128.015,125.204,116.286,112.787,103.168,103.073
137,86475.0,444.829,405.296,265.595,282.233,210.53,219.028,135.215,132.596,123.332,117.954,106.223,106.817
138,92681.0,487.511,412.125,326.7,287.8,203.043,225.096,121.532,141.336,130.577,127.185,109.281,110.514
139,99334.0,490.484,451.208,352.854,315.046,215.51,212.039,155.715,151.211,137.071,132.557,110.574,98.0918
140,106463.0,555.631,474.905,360.282,331.999,189.629,191.442,164.365,160.728,143.877,141.363,109.305,94.6883
141,114104.0,566.637,489.53,379.323,336.55,172.198,148.239,142.621,166.752,154.237,147.006,101.806,96.3579
142,122294.0,623.577,515.553,399.84,348.818,147.467,132.504,156.705,178.704,163.563,155.323,101.722,91.2122
143,131072.0,659.1,544.72,404.701,367.444,148.34,125.55,198.714,187.837,171.49,141.403,99.6099,91.7398
144,140479.0,701.608,576.151,417.356,353.19,153.358,127.568,212.332,200.314,181.045,171.711,100.103,92.2078
145,150562.0,746.921,586.963,430.077,362.028,155.904,130.247,230.253,212.111,192.484,182.071,107.648,95.7881
146,161368.0,757.999,610.895,448.892,379.239,152.6,125.748,243.399,226.924,201.627,187.258,111.25,96.5962
147,172950.0,811.163,646.103,455.565,382.029,154.709,125.56,256.877,239.737,213.088,196.101,112.204,95.4842
148,185363.0,863.446,653.187,464.027,378.181,137.107,125.411,268.54,258.564,227.176,198.421,113.874,97.4705
149,198668.0,942.47,706.306,479.011,344.655,157.523,120.293,288.496,274.156,237.576,202.238,120.721,102.963
150,212927.0,959.436,721.638,486.402,306.027,159.215,117.297,306.601,288.654,250.667,196.387,129.654,107.641
151,228209.0,1036.51,752.291,508.331,277.29,157.403,110.02,325.454,310.187,262.231,168.892,140.941,111.279
152,244589.0,1047.62,783.388,524.584,241.312,160.521,117.28,294.333,323.272,276.258,184.628,140.872,112.722
153,262144.0,1135.02,800.456,543.024,239.331,163.702,117.432,362.719,340.68,290.75,183.804,146.356,114.01
154,280958.0,989.746,745.877,506.607,240.42,160.674,115.897,383.855,357.175,279.359,188.145,147.607,112.582
155,301124.0,1047.37,785.199,529.577,242.794,171.727,117.004,405.988,376.34,312.669,189.052,148.788,114.91
156,322737.0,1096.3,811.215,542.717,246.681,171.041,121.052,398.149,395.763,324.599,201.827,150.13,113.25
157,345901.0,826.871,857.437,531.981,252.366,177.578,121.12,452.158,406.056,334.497,204.364,150.366,117.843
158,370727.0,1209.38,877.175,535.747,254.558,178.195,124.487,479.816,441.066,344.104,205.014,145.372,118.381
159,397336.0,1248.26,932.933,520.418,243.922,176.61,124.838,506.217,460.409,349.812,198.148,149.011,120.731
160,425854.0,1349.0,933.852,483.695,227.869,175.786,123.368,529.204,488.526,347.804,185.137,156.451,121.849
161,456419.0,1371.27,968.811,448.93,222.47,174.009,122.687,561.289,507.686,331.591,179.844,159.962,122.389
162,489178.0,1471.1,978.882,413.218,217.209,172.359,123.738,592.584,533.135,315.372,178.251,162.729,124.854
163,524288.0,1519.98,1007.71,403.397,206.063,177.869,100.89,620.523,560.646,315.3,176.093,165.216,129.359
164,561917.0,1594.66,1030.67,399.422,202.418,184.232,128.177,651.871,577.673,313.118,166.766,166.247,130.57
165,602248.0,1645.91,1055.2,391.08,200.347,180.616,130.378,685.512,607.79,305.206,177.925,171.369,131.262
166,645474.0,1691.38,1061.73,374.852,200.068,180.024,129.666,718.531,634.061,308.991,179.217,172.849,133.188
167,691802.0,1769.23,1071.49,386.329,199.803,177.401,129.456,753.967,651.131,305.743,180.22,173.721,135.26
168,741455.0,1843.38,1044.92,352.684,203.331,179.25,129.215,791.017,661.084,278.699,183.301,174.469,134.359
169,794672.0,1927.94,1076.87,321.179,203.921,179.363,131.598,803.709,698.701,264.801,185.792,174.641,136.652
170,851708.0,1998.61,1003.07,299.387,204.529,178.701,132.792,859.378,693.552,253.765,188.277,176.798,137.215
171,912838.0,2060.0,949.439,283.263,204.531,184.843,137.024,897.083,669.733,248.233,190.093,174.708,139.628
172,978356.0,2048.89,873.522,278.137,206.385,185.99,137.345,935.733,648.068,249.979,191.442,175.491,141.021
173,1048576.0,2019.33,842.86,278.821,208.251,185.699,137.728,914.439,631.691,251.93,192.973,176.711,143.281
174,1123835.0,2232.1,813.36,280.372,208.307,168.739,138.245,1012.18,618.424,255.391,194.964,179.428,144.154
175,1204497.0,2230.29,769.333,280.05,209.961,187.949,139.532,1051.04,600.391,255.243,197.504,177.417,140.928
176,1290948.0,2450.6,739.245,280.971,209.679,170.503,141.169,1086.18,577.796,259.502,198.217,184.031,143.158
177,1383604.0,2461.46,706.315,284.301,212.407,189.624,140.339,1127.14,551.432,259.752,199.244,185.936,143.359
178,1482910.0,2530.73,639.067,286.731,212.972,167.63,142.662,1145.29,506.415,263.955,200.991,187.0,145.968
