,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
42,119.0,81.9032,81.594,40.8496,20.4087,10.2154,5.44297,2.72162,80.6035,80.6061,80.6061,80.5879,80.5924,80.5906,80.6008
43,128.0,88.1007,87.7644,43.8971,21.9649,10.9816,5.48872,2.74448,86.7179,86.6874,86.7005,86.6763,86.6813,86.69,86.6793
44,137.0,94.072,47.0732,31.3876,18.82,10.452,5.22303,2.68597,92.772,92.7972,92.7788,92.7717,92.7889,92.7677,92.7874
45,147.0,100.866,50.5082,33.6786,20.1938,10.1011,5.30929,2.72595,99.5487,99.5544,99.5677,99.5552,99.546,99.5564,99.5549
46,157.0,107.649,53.9442,35.9445,21.5593,10.7824,5.38585,2.6933,106.332,106.333,106.335,106.313,106.331,106.323,106.341
47,168.0,115.191,57.7236,38.4631,19.2349,10.4947,5.48865,2.74451,113.788,113.785,113.789,113.77,113.772,113.78,113.764
48,181.0,124.1,62.191,41.4117,20.7165,10.3684,5.39927,2.69999,122.565,122.584,122.591,122.579,122.56,122.593,122.578
49,194.0,133.018,66.6361,33.3166,19.0261,10.2523,5.32494,2.71671,131.372,131.377,131.392,131.375,131.376,131.402,131.391
50,207.0,141.926,71.0375,35.551,20.3162,10.9372,5.46242,2.73132,140.165,140.183,140.195,140.177,140.182,140.189,140.19
51,222.0,152.211,76.1536,38.1128,21.7666,10.8846,5.43982,2.72019,149.521,150.359,150.33,150.343,150.352,150.329,150.323
52,238.0,163.183,81.6802,40.8407,20.4589,10.891,5.44309,2.72179,161.168,161.21,161.186,161.158,161.185,161.177,161.182
53,256.0,175.53,87.7928,43.9218,21.9783,10.9824,5.48884,2.74452,173.362,173.409,173.391,173.366,173.379,173.377,173.362
54,274.0,188.202,94.1447,62.756,37.6411,20.8967,10.4457,5.37175,185.556,185.564,185.587,185.528,185.567,185.553,185.567
55,294.0,201.94,101.016,67.2545,40.365,20.2009,10.6161,5.45073,199.109,199.104,199.118,199.081,199.101,199.118,199.111
56,315.0,216.363,108.232,72.0352,43.2372,21.6135,10.805,5.40303,213.331,213.3,213.33,213.318,213.329,213.335,213.327
57,337.0,231.471,115.682,77.0644,38.5562,21.0311,10.5112,5.37754,228.233,228.255,228.209,228.22,228.243,228.189,228.212
58,362.0,248.649,124.176,82.7628,41.4241,20.7068,10.798,5.39975,245.184,245.214,245.147,245.073,245.144,245.163,245.163
59,388.0,266.005,133.065,66.6373,38.0812,20.4892,10.6496,5.43278,262.815,262.806,262.765,262.751,262.801,262.744,262.734
60,415.0,284.471,142.322,71.2719,40.7119,21.9023,10.9489,5.47448,281.048,281.057,281.014,281.004,281.093,281.01,281.024
61,445.0,305.041,152.612,76.3978,43.6397,21.8109,10.9022,5.451,301.38,301.353,301.376,301.321,301.379,299.739,299.769
62,477.0,326.987,163.549,81.8606,40.9599,21.8216,10.9074,5.45373,323.063,323.016,323.03,322.983,323.019,321.237,321.224
63,512.0,350.971,175.549,87.8521,43.9311,21.9565,10.9758,5.48766,346.761,346.769,343.965,346.699,346.744,344.831,345.594
64,548.0,375.641,187.935,125.276,62.6734,31.3416,16.3444,8.1719,371.141,371.082,371.081,371.111,371.115,368.065,369.081
65,588.0,403.062,201.608,101.023,57.7019,31.0421,16.136,8.23122,398.228,398.204,398.209,398.161,398.139,395.995,395.951
66,630.0,431.862,216.003,108.102,61.7621,30.9005,16.0087,8.15432,426.6,426.559,426.636,426.612,426.539,424.227,424.24
67,675.0,462.705,231.434,115.77,57.9375,30.8961,15.9713,8.12478,457.071,457.189,457.095,457.098,456.931,454.553,454.532
